"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 04 11:22:51 GMT 2024","Fri Oct 04 11:22:52 GMT 2024","300","Postman Workspace Automation","Sanity Test Cases","Postman Workspace APIs","","","Test case to perform PUT operation using Postman APIs",""
"failed","Fri Oct 04 11:22:51 GMT 2024","Fri Oct 04 11:22:51 GMT 2024","330","Postman Workspace Automation","Sanity Test Cases","Postman Workspace APIs","","","Test case to perform GET operation using Postman APIs",""
"passed","Fri Oct 04 11:22:53 GMT 2024","Fri Oct 04 11:22:53 GMT 2024","585","Google Homepage Automation","Sanity Test Cases","UI Automation","","","Test case to perform GET operation using Postman APIs",""
"failed","Fri Oct 04 11:22:52 GMT 2024","Fri Oct 04 11:22:52 GMT 2024","381","Postman Workspace Automation","Sanity Test Cases","Postman Workspace APIs","","","Test case to perform delete operation",""
"failed","Fri Oct 04 11:22:51 GMT 2024","Fri Oct 04 11:22:51 GMT 2024","311","Postman Workspace Automation","Sanity Test Cases","Postman Workspace APIs","","","Test case to perform POST operation using Postman APIs",""
