"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 03 14:08:47 GMT 2024","Thu Oct 03 14:08:48 GMT 2024","348","Postman Workspace Automation","Sanity Test Cases","Postman Workspace APIs","","","Test case to perform POST operation using Postman APIs",""
"passed","Thu Oct 03 14:08:48 GMT 2024","Thu Oct 03 14:08:48 GMT 2024","608","Postman Workspace Automation","Sanity Test Cases","Postman Workspace APIs","","","Test case to perform PUT operation using Postman APIs",""
"passed","Thu Oct 03 14:08:48 GMT 2024","Thu Oct 03 14:08:49 GMT 2024","547","Postman Workspace Automation","Sanity Test Cases","Postman Workspace APIs","","","Test case to perform delete operation",""
"passed","Thu Oct 03 14:08:47 GMT 2024","Thu Oct 03 14:08:47 GMT 2024","292","Postman Workspace Automation","Sanity Test Cases","Postman Workspace APIs","","","Test case to perform GET operation using Postman APIs",""
