"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 03 09:50:02 GMT 2024","Thu Oct 03 09:50:02 GMT 2024","650","JazzX API Automation","Sanity Test Cases","Postman APIs","","","Test case to perform GET operation using Postman APIs",""
"passed","Thu Oct 03 09:50:05 GMT 2024","Thu Oct 03 09:50:06 GMT 2024","1072","JazzX API Automation","Sanity Test Cases","Postman APIs","","","Test case to perform PUT operation using Postman APIs",""
"passed","Thu Oct 03 09:50:02 GMT 2024","Thu Oct 03 09:50:05 GMT 2024","2591","JazzX API Automation","Sanity Test Cases","Postman APIs","","","Test case to perform POST operation using Postman APIs",""
"passed","Thu Oct 03 09:50:06 GMT 2024","Thu Oct 03 09:50:07 GMT 2024","963","JazzX API Automation","Sanity Test Cases","Postman APIs","","","Test case to perform delete operation",""
