"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 03 16:21:38 GMT 2024","Thu Oct 03 16:21:39 GMT 2024","876","Postman Workspace Automation","Sanity Test Cases","Postman Workspace APIs","","","Test case to perform delete operation",""
"passed","Thu Oct 03 16:21:37 GMT 2024","Thu Oct 03 16:21:38 GMT 2024","1357","Postman Workspace Automation","Sanity Test Cases","Postman Workspace APIs","","","Test case to perform PUT operation using Postman APIs",""
"passed","Thu Oct 03 16:21:36 GMT 2024","Thu Oct 03 16:21:36 GMT 2024","530","Postman Workspace Automation","Sanity Test Cases","Postman Workspace APIs","","","Test case to perform GET operation using Postman APIs",""
"passed","Thu Oct 03 16:21:36 GMT 2024","Thu Oct 03 16:21:37 GMT 2024","640","Postman Workspace Automation","Sanity Test Cases","Postman Workspace APIs","","","Test case to perform POST operation using Postman APIs",""
